"","alicia","bat1","bat2","bat3","bat4","bat5","bat6","bat7","bella","betty","black-panther","c","captain-america","cat","cc","ccc","ccs","cd","cerce","cerceson","cindy","cs","csc","d","daredevil","dcd","dd","ddld","dr","ds","esther","eve","falcon","flapper","fran","gayle","gremlin","hera","hilga","houdini","hulk","irma","ivy","jenna-bat","jupiter","kelly","ldc","lds","lily","lilyson","lsd","lucy","lucyson","mabel","marce","mina","no-band","ola","opal","piper","queen","r","rc","rina","s","sam1","sam5","sam6","sam7","sc","scc","scs","sd","shania","sheldon","six","snow","son-of-ola","sonofzaria","speedster","spiderman","ss","sss","streblick","thecount","tiffany","vampirella","vampison","veronica","vixen","vlad","war-machine","winona","zaria","zelda"
"kelly",0,72,16,12,15,61,5,4,0,459,1,3,0,4,0,1,0,0,0,90,963,0,0,3,2,0,24,676,0,8,0,0,0,7,6,36,0,80,35,10,12,0,54,0,12,746,18,12,0,0,0,2,82,71,91,1,0,0,102,867,1755,14,0,0,54,0,0,0,0,0,0,18,0,233,0,2,5,34,0,7,0,3,58,28,0,10,0,93,0,4,0,7,8,1,22
"ldc",0,0,13,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,7,6,0,0,0,0,13,0,0,0,0,0,1079,13,0,0,0,0,0,9,0,0,0,1,2,29,0,7,0,0,2,0,0,2,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lds",0,48,73,25,40,212,10,12,0,4826,7,7,0,341,44,103,0,0,0,13,1236,7,9,25,6,0,286,4125,3,66,0,10,0,38,14,902,0,269,57,26,30,0,47,1,39,78,217,6469,0,1,0,0,179,60,153,15,0,491,107,837,205,876,3,0,285,78,0,29,0,0,0,177,143,213,10,12,11,1596,0,56,0,60,136,91,0,2,0,178,0,1,0,3,29,0,128
"lily",0,1,8,0,3,0,0,1,0,22,1,0,0,0,0,2,0,0,0,1,20,0,0,0,0,0,1,46,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,16,0,2,0,0,0,0,0,1,6,0,0,1,1,23,37,0,0,0,12,0,0,0,0,0,0,4,0,3,0,0,2,8,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
"lilyson",0,0,5,0,0,0,0,1,0,49,1,0,0,0,0,6,0,0,0,1,9,0,0,0,0,0,9,61,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,10,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
"lsd",0,13,47,10,1,8,2,1,0,897,7,0,0,40,0,10,1,0,0,9,243,0,0,0,0,0,14,507,0,4,0,0,0,0,3,4,0,12,5,4,6,0,2,1,9,5,19,201,0,0,0,0,25,0,19,0,0,63,2,29,20,9,0,0,152,7,0,7,0,0,0,64,3,1,0,3,3,224,0,2,0,2,75,1,0,0,0,72,0,0,0,1,0,0,0
"lucy",0,3,11,5,38,6,0,0,0,5,0,0,0,1,0,2,0,0,0,1,14,0,0,0,0,0,15,168,0,0,0,0,0,15,0,3,0,0,2,4,1,0,1,0,0,30,0,17,0,0,0,20,8,0,9,0,0,0,3,103,18,1,0,0,19,0,0,0,0,0,0,0,2,67,0,1,1,30,0,6,0,0,1,26,0,0,2,5,0,0,0,1,0,0,0
"lucyson",0,45,15,6,12,3,0,4,0,67,0,1,0,0,0,2,1,0,0,0,43,0,0,0,0,0,22,143,1,0,0,0,0,0,0,0,0,6,0,16,2,0,22,0,2,2,1,3,0,1,0,0,339,1,186,6,0,0,0,15,18,16,0,0,24,0,0,0,0,0,0,7,5,14,0,0,4,57,0,1,0,0,1,50,1,0,0,63,0,0,0,0,0,0,0
"mabel",0,143,11,6,2,55,5,24,0,4737,1,8,0,7,0,1,0,0,0,27,1545,0,0,3,2,0,108,104,1,17,0,0,0,7,13,301,0,40,25,9,10,0,37,1,13,10,94,100,0,1,0,0,87,1985,13,1,0,24,165,497,463,156,0,0,96,8,0,8,0,0,0,87,1,16,0,0,6,42,0,0,0,10,34,4,0,1,0,28,0,0,0,1,89,0,68
"marce",0,53,212,126,59,18,1,5,0,675,60,1,0,1,31,73,0,0,1,78,259,0,0,7,0,0,44,550,0,13,0,1,0,18,0,0,0,183,2,13,10,0,15,2,1,24,0,28,0,0,0,2,406,18,2561,13,0,2,52,211,146,4,1,0,76,0,0,0,0,0,0,82,36,126,0,3,2,748,0,25,1,5,62,70,1,0,2,50,0,0,3,0,0,2,3
