"dyad","dyad.sex","bat1","bat2","both_zoo","both_wild","both_adult","both_young","study_site","treatment_rank","treatment_label","kinship","kinship2","donation.rate","donation.lograte","groom.rate","groom.lograte","affiliation.rate","affiliation.lograte","dist","sim"
"alicia_hulk","mixed_sex","alicia","hulk",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.72934965524986,0.831844706705212
"alicia_irma","female","alicia","irma",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,0.126190476190476,0.280342946926951,0.126190476190476,0.280342946926951,2.21366953476142,0.784751308825535
"alicia_ivy","female","alicia","ivy",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,3.49384934920949,0.660271559160636
"alicia_jenna-bat","mixed_sex","alicia","jenna-bat",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.88163854135941,0.817036722541021
"alicia_jupiter","female","alicia","jupiter",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,0.893421052631577,0.41205031679096,0.893421052631577,0.41205031679096,2.26005173081154,0.780241282899438
"alicia_kelly","female","alicia","kelly",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,0.59882005899705,0.379412656177676,0.59882005899705,0.379412656177676,1.77639186129203,0.827270503952032
"alicia_ldc","mixed_sex","alicia","ldc",FALSE,TRUE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,8.89482991982011,0.13510103093726
"alicia_lds","female","alicia","lds",FALSE,TRUE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.77490653335265,0.827414931514455
"alicia_lily","female","alicia","lily",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.07064800122229,0.79865817135431
"alicia_lilyson","mixed_sex","alicia","lilyson",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.94190453731799,0.713940544749754
"alicia_lsd","female","alicia","lsd",FALSE,TRUE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.85992607994177,0.819147958580969
"alicia_lucy","female","alicia","lucy",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.32673970161582,0.773756801721334
"alicia_lucyson","mixed_sex","alicia","lucyson",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,3.20406785939634,0.68844879403214
"alicia_mabel","female","alicia","mabel",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,0.0425824175824176,0.123021955617004,0.0425824175824176,0.123021955617004,2.28854095694515,0.777471100385048
"alicia_marce","female","alicia","marce",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.51378778273363,0.755568967442067
"alicia_mina","female","alicia","mina",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,3.66178712873136,0.643941936932391
"alicia_no-band","female","alicia","no-band",FALSE,TRUE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.15063034720489,0.790880996387824
"alicia_ola","female","alicia","ola",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.60709817166985,0.746495824962529
"alicia_opal","female","alicia","opal",FALSE,TRUE,TRUE,FALSE,"2019_CH",4,"4. same wild roost
then caged together",NA,NA,NA,NA,0.0472560975609756,0.200205299239182,0.0472560975609756,0.200205299239182,2.06446274616144,0.799259601710341
"alicia_piper","female","alicia","piper",FALSE,TRUE,TRUE,FALSE,"2019_CH",4,"4. same wild roost
then caged together",NA,NA,NA,NA,0.51829268292683,0.367737410311136,0.51829268292683,0.367737410311136,1.80534961767503,0.824454763362521
"alicia_queen","female","alicia","queen",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,0,0,0,0,2.21233974839065,0.784880612125488
"alicia_r","female","alicia","r",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,3.12564211062201,0.696074611487261
"alicia_rc","female","alicia","rc",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.30697639571917,0.775678509393023
"alicia_rina","female","alicia","rina",FALSE,TRUE,TRUE,FALSE,"2019_CH",4,"4. same wild roost
then caged together",NA,NA,NA,NA,1.51506849315069,0.445050203268859,1.51506849315069,0.445050203268859,2.03514997144714,0.802109862913681
"alicia_s","female","alicia","s",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.37240224261442,0.769316752277952
"alicia_sam1","female","alicia","sam1",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.34469945554166,0.772010464490032
"alicia_sam5","mixed_sex","alicia","sam5",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.93346666432006,0.811997155677889
"alicia_sam6","mixed_sex","alicia","sam6",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.21615390045061,0.784509738683922
"alicia_sam7","mixed_sex","alicia","sam7",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.82296594369545,0.822741819736721
"alicia_sc","female","alicia","sc",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.90075583165204,0.815177830936076
"alicia_scc","female","alicia","scc",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.12321409333745,0.793546847215694
"alicia_scs","female","alicia","scs",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,NA,NA,NA,NA,2.13659066247616,0.792246161203487
"alicia_sd","female","alicia","sd",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.27419777428797,0.778865776169195
"alicia_shania","female","alicia","shania",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,0,0,0,0,2.61114679240269,0.746102152691162
"alicia_sheldon","mixed_sex","alicia","sheldon",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.79271027567507,0.825683764249996
"alicia_six","female","alicia","six",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.56472811797502,0.750615725634057
"alicia_snow","female","alicia","snow",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.59097081934007,0.74806398652711
"alicia_son-of-ola","mixed_sex","alicia","son-of-ola",FALSE,TRUE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.38695307914182,0.767901885032036
"alicia_sonofzaria","mixed_sex","alicia","sonofzaria",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.37168165879458,0.769386819070518
"alicia_speedster","mixed_sex","alicia","speedster",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.79641416369664,0.825323612458421
"alicia_spiderman","mixed_sex","alicia","spiderman",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.22530461505671,0.783619958474481
"alicia_ss","female","alicia","ss",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.43077849992713,0.763640470075524
"alicia_sss","female","alicia","sss",FALSE,TRUE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.56539538840357,0.847786987518566
"alicia_streblick","mixed_sex","alicia","streblick",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,3.54617437024191,0.655183675844701
"alicia_thecount","mixed_sex","alicia","thecount",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.61037711097158,0.746176993546162
"alicia_tiffany","female","alicia","tiffany",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,0.7046875,0.388527627406505,0.7046875,0.388527627406505,2.20003033410952,0.786077532113558
"alicia_vampirella","female","alicia","vampirella",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.60389894021902,0.746806905894774
"alicia_vampison","mixed_sex","alicia","vampison",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.7846364838739,0.729232683949314
"alicia_veronica","female","alicia","veronica",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.01710522119555,0.803864464860011
"alicia_vixen","female","alicia","vixen",FALSE,TRUE,TRUE,FALSE,"2019_CH",4,"4. same wild roost
then caged together",NA,NA,NA,NA,56.3973607038124,0.70194433552548,56.3973607038124,0.70194433552548,1.62860999337483,0.841640243043157
"alicia_vlad","mixed_sex","alicia","vlad",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.84957786467324,0.722918034449642
"alicia_war-machine","mixed_sex","alicia","war-machine",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.86137437195033,0.721770987561229
"alicia_winona","female","alicia","winona",FALSE,TRUE,TRUE,FALSE,"2019_CH",4,"4. same wild roost
then caged together",NA,NA,NA,NA,1.56707317073171,0.432374440547594,1.56707317073171,0.432374440547594,2.59715853793412,0.747462316626607
"alicia_zaria","female","alicia","zaria",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.47240775454525,0.856828746538649
"alicia_zelda","female","alicia","zelda",FALSE,TRUE,TRUE,FALSE,"2019_CH",4,"4. same wild roost
then caged together",NA,NA,NA,NA,4.97012578616352,0.527306325897211,4.97012578616352,0.527306325897211,1.70826443297149,0.833894952429459
"bat1_bat2","female","bat1","bat2",TRUE,FALSE,TRUE,FALSE,"2014_US",5,"5. same long-term 
captive colony",0.0885,"0.01-0.249",NA,NA,NA,NA,NA,NA,6.46171281439013,0.371687957844781
"bat1_bat3","female","bat1","bat3",TRUE,FALSE,TRUE,FALSE,"2014_US",5,"5. same long-term 
captive colony",0.253,"0.25-0.5",NA,NA,NA,NA,NA,NA,5.88428971565619,0.427834353819724
"bat1_bat4","female","bat1","bat4",TRUE,FALSE,TRUE,FALSE,"2014_US",5,"5. same long-term 
captive colony",0.2724,"0.25-0.5",NA,NA,NA,NA,NA,NA,5.61135799383381,0.454373182212912
"bat1_bat5","mixed_sex","bat1","bat5",TRUE,FALSE,TRUE,FALSE,"2014_US",5,"5. same long-term 
captive colony",0.4463,"0.25-0.5",NA,NA,NA,NA,NA,NA,5.90742807068069,0.425584469382709
"bat1_bat6","female","bat1","bat6",TRUE,FALSE,TRUE,FALSE,"2014_US",5,"5. same long-term 
captive colony",0.3218,"0.25-0.5",NA,NA,NA,NA,NA,NA,6.54290827078615,0.363792824698613
"bat1_bat7","female","bat1","bat7",TRUE,FALSE,TRUE,FALSE,"2014_US",5,"5. same long-term 
captive colony",0,"0",NA,NA,NA,NA,NA,NA,5.94168467243359,0.42225348949813
"bat1_bella","female","bat1","bella",TRUE,FALSE,TRUE,FALSE,"2014_US",5,"5. same long-term 
captive colony",0,"0",NA,NA,NA,NA,NA,NA,6.19513792886272,0.39760867198423
"bat1_betty","female","bat1","betty",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,6.12295818169714,0.404627152323197
"bat1_black-panther","mixed_sex","bat1","black-panther",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,6.15402787725817,0.401606054910199
"bat1_c","female","bat1","c",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,5.72889892825622,0.442943954906599
"bat1_captain-america","mixed_sex","bat1","captain-america",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,5.5918229985755,0.456272689838337
"bat1_cat","female","bat1","cat",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,6.00204017448387,0.416384753168025
"bat1_cc","female","bat1","cc",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,6.30593208717474,0.386835475175968
"bat1_ccc","female","bat1","ccc",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,6.39978400008661,0.377709676992781
"bat1_ccs","female","bat1","ccs",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,6.03638976778805,0.413044731143511
"bat1_cd","female","bat1","cd",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,6.38237036555122,0.379402911680016
"bat1_cerce","female","bat1","cerce",TRUE,FALSE,TRUE,FALSE,"2014_US",5,"5. same long-term 
captive colony",0,"0",NA,NA,NA,NA,NA,NA,5.54554038603002,0.460773032648368
"bat1_cerceson","mixed_sex","bat1","cerceson",TRUE,FALSE,FALSE,FALSE,"2014_US",5,"5. same long-term 
captive colony",0,"0",NA,NA,NA,NA,NA,NA,6.71205844748419,0.347345313643126
"bat1_cindy","female","bat1","cindy",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,5.91368720033657,0.424975855745867
"bat1_cs","female","bat1","cs",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,5.96948329515265,0.41955045859728
"bat1_csc","female","bat1","csc",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,5.98510732152955,0.41803123850788
"bat1_d","female","bat1","d",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,5.84256077085769,0.431891915533847
"bat1_daredevil","mixed_sex","bat1","daredevil",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,6.02356888078958,0.414291384766728
"bat1_dcd","female","bat1","dcd",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,5.60225580104942,0.455258244347477
